Roll No,student_name,gender,dob,class_teacher,maths,english,kiswahili,physics,chemistry,biology,geography,history,agriculture,computer,attendance (%),average,grade
20,Adam Johnson,female,11-10-95,Ms. Johnson,100,25,29,38,67,75,79,30,22,84,60,60.15,B
21,Stephen Gutierrez,male,11-12-98,Mr. Smith,80,12,10,47,28,28,97,37,7,65,30,37.69,D
22,Jacob Thomas,female,11/29/1996,Mr. Smith,82,80,29,47,51,80,75,90,94,82,35,68.85,B
23,Emily Durham,male,4/30/1999,Ms. Johnson,35,89,71,66,99,60,75,5,79,9,0,56,B-
24,Deborah Johnson,male,06-08-09,Mr. Smith,72,42,7,61,25,74,43,86,60,75,100,51.08,C
25,Brianna Smith,female,5/17/2009,Ms. Johnson,86,55,27,83,50,94,90,12,37,51,80,56.92,B-
26,Donna Powell,male,06-01-07,Mr. Smith,74,14,55,81,6,94,47,79,45,5,25,41.69,D+
27,April Anderson,female,5/30/2004,Mr. Brown,98,78,53,50,70,11,9,1,92,46,80,50.77,C
28,Gerald Fox MD,male,02-08-07,Mrs. Davis,57,54,25,96,4,16,13,62,57,73,75,54.15,C
29,Danny Coleman,male,10-07-97,Mrs. Davis,54,98,40,34,91,7,16,17,12,29,65,39.38,D
30,Marvin Evans,female,4/20/2009,Ms. Johnson,93,67,63,11,41,98,49,12,38,71,100,49.54,C-
31,Diana Kane,female,02-08-93,Mrs. Davis,83,0,31,76,69,51,48,78,73,81,25,57.54,B-
32,Andrea Oliver,female,2/18/2000,Mr. Brown,75,41,63,59,11,98,82,86,1,59,90,61.08,B
33,Desiree Cohen,male,03-09-94,Mr. Brown,50,71,32,30,38,18,55,32,26,26,55,39.54,D
34,Wendy Smith,female,06-12-98,Ms. Johnson,27,53,25,97,53,38,79,70,61,14,25,48.92,C-
35,Frank Page,male,6/24/2001,Mrs. Davis,0,25,63,88,78,87,83,92,69,92,95,61.54,B
36,Stephanie Daniels,female,10/29/1993,Mr. Smith,88,20,5,29,89,42,0,22,43,89,50,43.46,D+
37,Wendy Kelley,female,2/21/2008,Mr. Brown,77,52,83,62,92,94,87,60,68,87,55,73.62,B+
38,Joseph Manning,male,5/15/1994,Mr. Smith,99,17,94,98,70,49,87,49,32,61,75,60.85,B
39,Amanda Parks,female,03-03-09,Ms. Johnson,61,92,12,66,79,1,36,87,9,0,45,49.23,C-
40,Amber Castillo,male,5/31/2004,Mr. Smith,82,69,64,64,98,43,25,5,96,56,100,59.77,B-
41,Jay James,male,3/19/1990,Mr. Brown,34,60,22,54,54,29,49,18,99,78,20,46.08,C-
42,Jared Morales,female,9/17/1999,Mr. Smith,55,85,34,12,59,31,94,100,84,20,75,51.23,C
43,Christopher Lewis,male,02-11-94,Ms. Johnson,88,76,38,9,13,46,47,95,77,22,75,48.77,C-
44,Jessica Moore,female,12/26/2007,Mr. Brown,3,19,78,91,90,30,9,35,64,62,85,52.77,C
45,Melissa Boyd,female,6/13/2008,Ms. Johnson,48,73,83,53,1,4,70,42,14,63,20,38.69,D
46,Brian Powell,male,05-06-04,Mr. Smith,93,66,51,72,47,81,41,76,5,80,80,57,B-
47,Steven Mitchell,female,12-09-08,Mrs. Davis,3,84,48,51,85,96,61,58,64,12,80,53.46,C
48,Mr. Eric Lopez,male,06-05-09,Ms. Johnson,39,62,21,25,80,85,77,7,87,80,50,50.69,C
49,Veronica Garza,female,03-12-99,Mr. Brown,7,5,48,4,22,15,56,96,42,76,55,48.31,C-
50,Juan Pope,female,01-04-00,Ms. Johnson,22,77,38,72,47,42,27,83,12,9,25,39.23,D
51,Suzanne Moss,female,01-01-97,Ms. Johnson,4,98,12,55,69,73,40,19,47,60,35,45.38,C-
52,Tiffany Bishop,male,03-06-01,Mr. Smith,53,89,4,10,62,68,76,44,32,2,10,44.92,D+
53,Patricia Wilson,female,8/26/2001,Ms. Johnson,70,46,95,54,34,82,73,85,91,16,0,63.31,B
54,Terry Richard,male,12/30/2001,Mr. Smith,78,36,85,64,61,56,2,67,94,86,35,51,C
55,Michael Moses,male,12/26/1993,Mr. Brown,60,70,61,74,90,29,11,8,85,36,55,54.31,C
56,Thomas Smith,male,12-07-91,Ms. Johnson,72,22,8,13,2,70,98,61,18,80,70,47.31,C-
57,Amy Brooks,female,8/31/1993,Mr. Smith,22,54,84,96,94,24,37,24,95,99,15,61.69,B
58,Jeffrey Martin,female,8/22/1993,Mr. Smith,42,12,74,91,69,45,53,19,44,51,25,51.38,C
59,Angela Mckee,male,08-02-93,Mr. Smith,19,35,66,41,58,68,94,26,10,17,45,45,C-
60,Samantha Ellis,male,11-04-97,Mr. Brown,36,96,4,84,25,52,81,95,84,54,15,58.38,B-
61,Melissa Sharp,female,6/28/2009,Ms. Johnson,96,30,37,24,9,16,8,92,83,46,85,38.69,D
62,Mary Sharp,male,3/18/2004,Ms. Johnson,46,91,30,34,25,28,74,16,11,40,45,44.77,D+
63,Mary Hoffman,female,2/24/1994,Ms. Johnson,13,90,93,42,4,52,65,80,20,30,55,48.77,C-
64,Kevin Cook,female,1/20/1991,Mr. Brown,75,12,18,99,95,21,0,31,65,65,95,53.08,C
65,Karen Myers,female,11/13/2002,Mr. Brown,50,5,10,62,32,46,41,62,39,57,95,43.85,D+
66,Douglas Morgan,female,1/23/2003,Ms. Johnson,52,73,19,93,94,66,0,75,6,60,30,53.85,C
67,Jermaine Sims,male,7/21/1994,Mrs. Davis,82,72,52,100,44,45,12,11,48,38,5,48.54,C-
68,Deborah Sherman,male,12-03-90,Ms. Johnson,16,22,14,13,30,91,54,50,61,38,25,38.92,D
69,Leonard Wood,male,12/24/2003,Ms. Johnson,49,55,26,77,32,40,93,17,53,97,65,56.92,B-
70,Victoria Ward,male,02-06-08,Mrs. Davis,44,78,62,73,6,86,56,16,44,71,10,49.62,C-
71,Denise May,male,12-09-95,Mr. Smith,38,38,93,26,42,9,85,28,65,77,80,54.77,C
72,Denise Rojas,male,02-09-05,Mrs. Davis,14,8,51,82,81,29,99,93,8,90,10,59.62,B-
73,Kathryn Mcdonald,male,04-12-08,Mr. Brown,73,22,25,25,38,11,66,27,74,26,85,43.08,D+
74,Lisa Bryant,male,11/18/1990,Ms. Johnson,18,86,97,43,11,8,82,98,98,37,0,57.08,B-
75,Raymond Mann,male,5/31/2009,Ms. Johnson,96,51,59,82,70,15,95,52,78,0,35,58,B-
76,Courtney Stark,male,07-06-92,Mr. Smith,46,72,47,95,14,26,21,34,79,76,30,56.46,B-
77,Monica Lane,female,05-04-06,Ms. Johnson,58,69,84,80,92,40,46,76,69,44,70,52.54,C
78,Christopher Cunningham,female,05-02-91,Mr. Smith,26,71,22,62,25,38,40,89,36,95,10,47.85,C-
79,Kathryn Brady,male,2/25/1991,Mr. Smith,13,36,83,2,35,78,27,14,85,40,15,45.77,C-
80,Sharon Reynolds,male,03-03-97,Mr. Smith,89,65,36,25,70,53,19,62,36,58,5,54.46,C
81,Paul Torres,female,05-01-95,Mrs. Davis,9,68,17,60,55,58,28,51,18,99,55,52.31,C
82,Melanie Perry,male,5/30/2008,Mrs. Davis,78,69,93,3,23,38,82,67,4,52,50,50.31,C
83,Dr. Katherine Garrett,female,08-04-95,Ms. Johnson,71,22,7,24,74,61,88,42,73,38,65,50.54,C
84,Kent Mendez,female,05-01-09,Mr. Brown,66,48,27,21,24,17,8,12,74,32,20,38.31,D
85,Jessica Phillips,female,10-01-02,Ms. Johnson,51,10,36,13,89,27,22,86,31,4,90,44,D+
86,Melvin Potter MD,male,12-06-05,Mr. Smith,77,17,66,80,8,17,30,81,10,8,55,37.31,D
87,Jonathon Yang,female,04-07-02,Ms. Johnson,88,20,1,77,63,40,84,93,15,69,35,46.23,C-
88,Theresa Ray,male,2/13/1999,Mr. Smith,2,40,50,3,85,73,85,38,17,36,95,54.62,C
89,Paige Davidson,female,09-10-10,Mr. Smith,85,20,64,71,44,82,56,16,24,25,80,45.69,C-
90,Wayne Perez,male,8/30/2005,Mr. Smith,22,76,51,21,13,63,75,32,54,34,70,52.15,C
91,Paige Ramirez,male,5/17/1998,Mr. Smith,6,20,53,62,27,93,58,29,26,75,25,46.31,C-
92,Brian Fields,male,04-10-92,Mr. Smith,48,71,65,33,6,64,45,84,42,100,100,53.77,C
93,Tammy Chen,male,7/20/1999,Ms. Johnson,62,18,34,48,49,18,28,96,50,47,50,40.23,D+
94,Michael Garner,male,11/20/2001,Mrs. Davis,80,12,12,20,0,69,39,30,62,49,25,42.23,D+
95,Craig Burke,male,11/19/1996,Mr. Smith,60,99,35,81,60,96,40,20,25,8,30,51.62,C
96,James Robertson,male,5/30/2009,Mr. Brown,30,93,58,71,21,66,93,6,20,45,35,51,C
97,Roger Sanders,male,09-12-92,Mrs. Davis,14,82,31,20,0,9,80,67,25,77,95,49.46,C-
98,Jeffrey Allen,male,6/30/1997,Mr. Smith,98,77,51,59,54,55,3,63,54,29,90,55.08,B-
99,Kelly Buchanan,male,10-01-09,Mrs. Davis,12,3,78,16,69,1,79,13,67,45,15,39.77,D
100,Julie Butler,male,10/17/2006,Mr. Smith,54,72,21,79,77,53,22,41,32,65,10,47.15,C-
101,Nathan King,male,05-11-04,Mr. Brown,70,19,23,61,88,44,93,95,100,7,50,53,C
102,Robert Stein,male,1/15/2004,Mrs. Davis,32,22,89,23,24,76,83,74,70,27,50,53.31,C
103,Lori Robinson,female,10/13/1990,Mrs. Davis,4,58,15,42,28,78,61,87,69,78,55,50.92,C
104,Peter Dunn,male,2/19/1991,Ms. Johnson,50,73,82,9,4,6,84,26,33,6,50,44.69,D+
105,Benjamin Cunningham,male,3/30/2006,Ms. Johnson,41,55,28,31,72,65,56,96,8,6,0,43.15,D+
106,Michaela Long,male,2/28/2004,Mrs. Davis,80,64,59,8,75,98,96,46,88,35,70,67.23,B
107,James Hayes,female,09-03-98,Mr. Brown,29,22,13,43,94,59,19,13,51,96,85,45.31,C-
108,Rachel Stanley,male,09-10-91,Mr. Brown,53,20,34,21,96,51,64,66,18,77,30,53.46,C
109,Mitchell Stone,male,11/13/1992,Mr. Smith,14,59,75,57,7,27,27,95,11,55,35,37.77,D
110,Michelle Arnold,female,10-05-09,Mr. Smith,54,87,92,42,11,30,84,15,81,10,50,44.38,D+
111,Kayla Hernandez,female,2/13/1990,Mrs. Davis,22,81,26,47,99,95,25,9,47,29,85,48.85,C-
112,Joyce Hill,female,02-08-02,Mrs. Davis,40,40,67,63,33,11,27,18,30,54,5,44.23,D+
113,John Osborn,male,5/21/2002,Mrs. Davis,21,64,84,60,0,69,43,95,53,59,50,53.85,C
114,Michelle Lewis MD,female,4/21/1990,Mr. Brown,35,30,32,98,0,18,71,58,70,84,5,46.31,C-
115,Sara Jackson,male,10/23/1996,Mr. Smith,43,9,81,70,21,81,92,81,10,29,0,53.46,C
116,Martha Rivera,female,9/29/2008,Mr. Smith,82,27,4,10,43,84,48,11,61,16,100,35.46,D
117,Ashley Gonzalez,female,04-09-04,Mr. Smith,48,61,70,72,66,4,53,58,70,92,50,56.46,B-
118,Douglas Robinson,male,5/16/1993,Mr. Smith,10,49,24,91,40,64,68,35,15,78,70,47.31,C-
119,Alejandro Abbott,female,11-07-91,Mrs. Davis,11,96,10,17,93,19,26,41,100,94,60,44,D+
120,Cody Mclaughlin,female,10-07-93,Ms. Johnson,53,74,90,53,2,24,50,18,95,22,15,40.77,D+
121,James Valentine,male,04-02-92,Mr. Brown,27,71,51,18,26,2,54,12,77,57,95,34.08,D-
122,Brittany Mendoza,male,04-04-06,Mr. Brown,82,18,69,75,85,29,96,37,67,66,65,65.62,B
123,Brian Thomas,male,11-04-05,Mr. Smith,70,64,8,86,46,46,77,77,49,39,0,57.92,B-
124,Paul Williams,female,02-06-05,Mr. Smith,73,9,37,53,73,94,46,94,54,27,10,56.08,B-
125,Miguel Allen MD,female,7/28/1999,Mr. Brown,48,5,10,99,72,68,40,78,38,2,30,47.23,C-
126,Edward Garza,male,9/20/2004,Ms. Johnson,47,99,53,17,61,47,47,56,83,62,15,58.69,B-
127,Dustin Noble,male,05-12-05,Mrs. Davis,21,12,45,36,47,61,9,38,33,40,85,40.62,D+
128,Jeffrey Wilson,female,11-01-97,Mr. Brown,22,79,40,23,48,43,7,78,8,1,90,32.62,D-
129,Regina Davis,female,10-02-10,Mrs. Davis,33,30,8,94,9,50,80,72,70,61,35,54.15,C
130,Michael Hamilton,male,11/23/1997,Mrs. Davis,69,85,65,55,82,3,2,85,85,22,45,44.77,D+
131,Fernando Scott,male,08-10-01,Mrs. Davis,92,10,23,50,93,42,31,43,68,57,60,47.92,C-
132,Regina Young,male,2/18/2001,Mr. Smith,97,55,19,9,28,3,83,41,10,29,35,41.92,D+
133,Edward Barnes,male,10/13/1990,Mr. Brown,85,49,53,67,21,80,9,96,33,31,80,55.69,B-
134,Andrew Flores,female,3/26/1990,Ms. Johnson,39,90,72,36,64,2,60,85,89,49,50,51.15,C
135,Jerry Hays,male,2/19/2008,Ms. Johnson,81,91,83,20,96,77,64,87,39,57,75,69.77,B
136,Jamie Walton,female,07-03-03,Ms. Johnson,88,83,88,14,50,1,14,5,71,94,100,53.23,C
137,Thomas Smith,female,8/20/1999,Mr. Smith,30,1,98,62,87,33,98,33,74,38,15,59.23,B-
138,Alexandra Marshall,male,5/18/1991,Mr. Smith,0,5,33,78,42,20,90,45,47,95,80,49.23,C-
139,Ashley Hernandez MD,female,04-12-03,Mr. Brown,100,94,53,76,52,10,11,53,87,54,85,65.46,B
140,Ronald Castaneda,female,12-01-01,Mr. Smith,25,11,90,65,72,48,23,14,55,78,85,48,C-
141,James Lara,male,4/27/2007,Mr. Smith,20,93,83,29,15,15,52,33,68,37,40,48.08,C-
142,Melissa Hunter,male,06-04-01,Mr. Brown,62,76,99,72,65,41,0,89,65,96,100,59.62,B-
143,Julie Collins,male,9/15/2004,Mrs. Davis,29,15,70,23,100,89,7,17,0,23,75,45.38,C-
144,Linda Perez,male,06-02-91,Mrs. Davis,29,36,64,8,65,46,31,88,51,79,30,46.38,C-
145,Randall Hines,female,09-09-10,Mr. Brown,45,92,60,18,58,0,17,99,95,10,10,51.85,C
146,Jessica Freeman,female,02-10-96,Ms. Johnson,41,67,13,96,52,25,80,49,31,10,55,48.69,C-
147,Julia Ramirez,male,10/29/2009,Mr. Smith,52,8,100,68,87,43,92,18,27,37,70,51.85,C
148,Steven Kelly,male,4/29/2006,Mr. Brown,79,87,6,62,48,36,30,27,94,74,75,45.46,C-
149,William Campbell,female,4/13/2002,Mrs. Davis,0,14,86,51,53,56,71,63,92,55,80,51.23,C
150,Jessica Woodward,male,5/31/2001,Ms. Johnson,95,19,97,83,60,11,75,31,76,74,10,52,C
151,Dana Austin,male,11/17/1994,Mr. Smith,0,81,3,5,20,63,48,59,70,88,25,52.15,C
152,Tamara Martinez,female,08-02-02,Ms. Johnson,22,6,41,83,34,41,71,33,9,44,20,42.08,D+
153,Lori Perez,male,8/18/2010,Mr. Smith,57,63,58,63,14,89,88,27,39,68,30,57.69,B-
154,Christopher Ballard,male,10/28/1990,Mr. Brown,74,76,34,13,9,64,56,56,79,70,50,49.15,C-
155,Laura Ramos,female,11-02-03,Mrs. Davis,26,64,61,97,26,88,60,10,89,3,90,57.46,B-
156,Erin Ferguson,female,9/28/1995,Ms. Johnson,67,44,21,71,17,97,25,60,14,95,5,53.92,C
157,Calvin Beltran,female,9/22/2001,Mrs. Davis,89,40,90,38,38,65,31,53,91,84,100,59.69,B-
158,Rachel Hanson,female,7/23/1990,Mr. Brown,86,54,37,46,72,10,41,48,92,75,5,52.15,C
159,Kelly White,male,04-06-96,Mr. Smith,45,61,95,69,98,19,57,98,37,40,90,59.46,B-
160,Shannon Watkins,female,11-07-97,Mr. Smith,2,81,62,79,26,75,81,92,73,18,65,63,B
161,Angela Miranda,female,5/13/2009,Ms. Johnson,42,42,62,37,20,64,65,16,18,31,80,52.92,C
162,Michael Nolan,male,12-02-94,Ms. Johnson,11,5,38,57,6,97,47,6,0,17,30,39.92,D
163,Antonio Keller,female,8/30/1995,Mrs. Davis,48,23,48,52,5,10,0,40,32,34,30,38.62,D
164,Gloria Guerra,female,07-10-03,Mrs. Davis,76,78,59,64,33,0,57,10,99,12,75,52.92,C
165,Brianna Archer,female,4/24/1997,Mr. Brown,38,35,22,87,6,76,58,60,73,15,95,50.31,C
166,Taylor Harris,male,8/29/2000,Ms. Johnson,4,58,46,65,56,44,97,70,93,7,0,45.31,C-
167,Brandon Wheeler,male,10/23/1994,Ms. Johnson,69,99,40,7,7,18,50,94,4,70,50,46.62,C-
168,Francisco West,female,06-09-08,Ms. Johnson,35,93,87,25,40,17,83,70,74,7,5,53.31,C
169,Victoria Martin,female,11-02-07,Mrs. Davis,24,3,46,60,3,77,47,8,56,92,5,37,D
170,Catherine Wilkinson,female,10/24/2001,Mr. Brown,83,44,51,24,92,43,35,75,77,68,0,60.15,B
171,Gabriel Huang,female,7/19/2000,Mr. Smith,8,26,22,17,38,66,42,14,21,76,75,28.38,E
172,Michael Anderson,male,6/28/1995,Mr. Brown,1,23,94,45,56,10,18,48,86,87,10,44.23,D+
173,Willie Gonzalez,female,3/31/1997,Mrs. Davis,51,16,83,31,79,61,33,50,51,41,30,49.54,C-
174,Jennifer Martinez,female,9/21/2006,Mrs. Davis,48,4,100,19,92,71,67,80,79,60,35,51.69,C
175,Zachary Fisher,male,10-12-99,Ms. Johnson,63,48,86,71,24,100,57,85,73,63,85,60.92,B
176,Nancy Golden,female,11/21/2000,Ms. Johnson,14,86,57,59,68,96,61,55,7,62,0,54.54,C
177,Rebecca Frank,female,10/26/1992,Mr. Smith,95,6,19,22,36,93,15,55,91,74,5,43.38,D+
178,Jeremy Smith,male,12-07-98,Ms. Johnson,99,51,18,78,18,72,72,46,24,15,40,54.23,C
179,John Rodriguez,female,1/14/2009,Mr. Smith,11,3,68,12,98,29,73,2,29,12,100,30.69,D-
180,Melinda Melton,female,07-03-04,Mr. Smith,19,36,82,45,38,71,68,37,20,8,80,40.46,D+
181,Elizabeth Ramos,female,11-07-00,Mrs. Davis,50,47,22,60,71,23,59,25,53,28,85,49.08,C-
182,Ian Sandoval DDS,female,04-05-05,Mr. Brown,76,97,19,23,5,47,73,18,23,35,40,40.38,D+
183,Jose Kelley,male,08-02-97,Mr. Smith,3,100,28,88,30,76,89,8,98,39,65,53.15,C
184,Miguel Massey,female,11/25/2006,Mr. Smith,15,45,34,64,9,28,5,49,46,76,40,37.38,D
185,Roy White,male,01-11-09,Mr. Brown,44,79,20,75,42,89,23,41,80,91,15,58.38,B-
186,Jesse Palmer,male,03-07-94,Mrs. Davis,22,100,57,52,86,31,81,31,43,32,60,56.77,B-
187,Sarah Lopez,female,11/30/1999,Mrs. Davis,67,52,40,51,12,16,72,100,99,28,100,52.85,C
188,Andrea Davis,female,11/17/1999,Ms. Johnson,93,82,91,1,0,95,62,25,58,23,95,51.92,C
189,Stacey Cobb,female,10-01-02,Mr. Brown,33,54,33,99,32,45,35,38,9,55,25,45.92,C-
190,Emily Flores,male,12/30/2006,Ms. Johnson,66,40,40,92,5,32,59,87,79,88,5,53.31,C
191,Kristen Bailey,female,6/30/1993,Mr. Brown,52,36,59,5,9,78,77,70,15,89,55,53.69,C
192,Paige Montoya,female,2/23/1998,Mrs. Davis,68,7,85,75,83,26,72,67,84,23,100,55.69,B-
193,Jodi Houston,male,12/25/2004,Mr. Smith,28,3,1,20,71,66,62,20,0,17,50,30.23,D-
194,Maria Stuart,male,10/16/2002,Mr. Smith,29,76,44,62,40,91,10,13,70,81,80,54.69,C
195,Richard Kelley,female,9/25/2000,Mr. Smith,90,61,80,69,85,97,88,45,91,43,35,76.15,A-
196,Katherine Jones,male,8/31/1998,Ms. Johnson,65,13,57,74,34,1,65,14,75,46,20,43.85,D+
197,Jose Shaw,male,7/20/2009,Mr. Brown,58,6,19,56,52,14,0,43,99,30,65,42.69,D+
198,James Martinez,male,07-06-02,Mrs. Davis,62,58,87,91,54,17,62,90,16,43,60,60.62,B
199,Peter Griffin,male,2/26/2005,Ms. Johnson,54,57,25,95,39,55,43,34,72,82,50,46.92,C-
200,April Odonnell,female,1/13/2005,Mrs. Davis,35,86,84,44,70,17,20,99,58,82,85,55.15,B-
201,Andrew Robinson,male,07-11-98,Mr. Brown,26,96,5,69,73,16,97,33,81,72,40,48.77,C-
202,Eric Campbell,male,6/18/1996,Mrs. Davis,74,51,92,17,68,45,38,72,64,74,100,56.69,B-
203,Benjamin Todd,male,4/19/1990,Mr. Brown,12,20,49,2,28,69,83,97,17,30,75,39.92,D
204,Gabriel Martin,male,2/15/1992,Ms. Johnson,48,74,46,75,76,57,61,16,78,3,35,55.54,B-
205,Dr. Jacob Taylor II,female,04-03-99,Mr. Brown,42,87,83,76,50,60,84,39,49,31,20,61.62,B
206,Johnathan Kramer,male,08-06-00,Ms. Johnson,58,90,86,23,50,0,84,33,30,62,90,49,C-
207,David Wyatt,male,10-11-92,Mr. Brown,79,31,93,57,93,8,83,69,85,81,65,63.38,B
208,Michael Holland,female,07-09-03,Ms. Johnson,35,72,92,93,19,60,5,91,57,52,15,54.08,C
209,Mrs. Nicole Washington PhD,female,10-02-91,Mr. Brown,18,60,89,24,2,57,83,63,92,56,20,56.69,B-
210,John Edwards,female,12/15/1997,Ms. Johnson,67,71,95,54,84,98,16,98,36,86,95,61,B
211,Gabriel Robbins,male,5/18/1998,Mrs. Davis,19,83,0,60,82,18,87,52,79,95,100,56.08,B-
212,Maurice Perez,male,6/29/2001,Ms. Johnson,81,4,58,35,71,52,59,51,17,48,95,51.08,C
213,Nathaniel Ross,female,6/25/1993,Mr. Brown,89,78,84,91,74,32,44,43,23,28,95,59.15,B-
214,David Shaw,female,10-06-96,Mr. Brown,73,32,96,68,84,54,80,60,76,9,25,63,B
215,Julie Lopez,male,01-06-01,Mrs. Davis,29,56,7,36,51,39,73,28,94,1,55,42.85,D+
216,Matthew Wallace,female,11/24/1996,Mr. Smith,97,1,52,33,23,71,78,23,23,45,35,44.77,D+
217,Christina Williams,male,08-03-01,Mr. Smith,76,96,59,48,22,41,49,67,95,61,70,62.54,B
218,Joel Jones,female,07-08-04,Mr. Smith,46,46,72,16,58,54,42,22,83,46,30,50.85,C
219,Dana Heath,female,03-05-08,Mr. Smith,71,41,54,85,65,94,47,17,28,97,30,56.38,B-
220,Travis Cortez,male,11-09-93,Mr. Brown,67,59,69,11,4,18,3,7,95,68,10,39.38,D
221,Steven Moreno,male,1/30/2000,Mrs. Davis,14,70,47,50,88,51,37,84,62,90,80,56.31,B-
222,Terry Arias,female,12/19/1991,Mr. Brown,58,55,9,67,79,98,61,25,91,9,90,56.38,B-
223,Natasha Hudson,male,6/19/2000,Mr. Brown,12,3,57,76,30,53,33,41,89,37,45,40.38,D+
224,Robert Jackson,male,05-12-96,Mrs. Davis,42,58,52,7,13,54,97,96,75,3,40,43.62,D+
225,Deborah Gibson,female,11/14/1998,Mrs. Davis,12,28,93,60,89,89,57,48,98,26,20,58.31,B-
226,Michael Lee,female,4/26/1997,Mrs. Davis,97,72,35,34,94,89,41,29,72,9,75,52.85,C
227,Yolanda Ellison,male,1/30/1990,Mr. Smith,61,98,49,56,5,94,89,89,80,93,20,57.77,B-
228,Carl Miller,male,7/21/1994,Mr. Brown,21,94,66,86,61,82,26,80,4,12,55,56.69,B-
229,Luis Perez,male,2/14/1997,Ms. Johnson,60,70,36,37,59,54,31,1,44,31,100,42.46,D+
230,Troy Nolan,male,10/17/2000,Mrs. Davis,58,5,36,26,58,27,77,71,98,55,50,53.77,C
231,Christine Hicks,female,12/28/2006,Mrs. Davis,24,85,54,100,82,34,49,26,30,73,35,54.15,C
232,Colleen Morris,female,11/25/1992,Ms. Johnson,49,10,13,2,28,16,77,31,25,52,50,35.85,D
233,Cheyenne Davis,female,3/14/1996,Mrs. Davis,34,53,80,77,9,40,61,1,37,14,25,39.62,D
234,Albert Powell,female,8/29/2008,Ms. Johnson,51,72,24,12,60,35,15,87,25,21,5,48.08,C-
235,Cassandra Burns,female,09-06-03,Mr. Smith,14,61,64,49,58,82,47,100,97,41,55,51.38,C
236,Edward Moore,female,12/26/2005,Mrs. Davis,62,32,64,63,68,32,39,19,92,79,60,49.38,C-
237,Michael King,female,07-07-05,Mrs. Davis,59,20,42,64,24,81,50,89,68,52,25,54.62,C
238,Misty Arnold,male,02-07-04,Mr. Brown,0,4,88,55,50,31,53,46,55,41,10,42.77,D+
239,Andrew Perez,female,03-05-10,Mr. Smith,98,76,90,75,64,27,38,27,55,25,60,55.85,B-
240,Ashley Cannon,male,10-06-94,Mr. Smith,86,12,77,34,65,14,91,47,72,70,80,53.15,C
241,Karen Curtis,male,03-04-92,Mr. Brown,44,29,83,82,28,10,3,62,3,8,0,36.77,D
242,Casey Olson,female,12-10-08,Mr. Smith,2,9,31,73,88,50,55,74,100,40,20,56.23,B-
243,Mary Blackwell,male,3/26/2010,Mrs. Davis,51,35,25,82,31,63,3,98,71,12,85,41.62,D+
244,Anthony Bailey,female,12-08-95,Mrs. Davis,87,76,23,38,73,63,68,73,82,93,25,57.92,B-
245,Rebecca Thomas,male,07-10-06,Ms. Johnson,13,21,4,7,85,28,77,39,62,69,70,49.85,C-
246,Sean Rodgers,female,1/18/2010,Mr. Brown,39,93,77,50,14,27,51,84,36,50,45,46.69,C-
247,Anthony Davis,female,09-06-09,Mr. Smith,94,80,14,40,26,54,62,30,27,31,20,43.77,D+
248,Rebecca Robles,male,09-01-96,Ms. Johnson,10,19,58,18,56,9,70,0,48,70,20,43.23,D+
